location,geo_lat,geo_long,number_of_rooms,number_of_toilets,surface_size,price
8.0,10.8105831,106.70914219999997,1.0,1.0,50.0,1320.0
8.0,10.8170723,106.58879760000002,1.0,1.0,55.0,1520.0
8.0,10.811037007414043,106.7133264541626,2.0,2.0,60.0,1560.0
14.0,10.7896223068237,106.63945770263695,2.0,2.0,74.0,1500.0
14.0,10.78897,106.6405,1.0,1.0,50.0,1200.0
14.0,10.795284,106.63845709999998,2.0,2.0,77.0,1524.6
14.0,10.78962,106.6395,2.0,2.0,75.0,1485.0
14.0,10.78962,106.6395,2.0,2.0,75.0,1680.0
14.0,10.78962230682373,106.63945770263672,2.0,2.0,77.0,1524.6
14.0,10.787246264658807,106.6406877040863,3.0,2.0,87.4,1800.0
14.0,10.7873411,106.641,3.0,2.0,79.0,1480.0
14.0,10.789471626281738,106.62654113769531,2.0,2.0,71.0,1000.0
14.0,10.78030432647835,106.63844394683838,2.0,2.0,74.0,1200.0
14.0,10.772738456726074,106.63487243652344,2.0,2.0,68.0,1200.0
14.0,10.77422,106.6359,2.0,2.0,67.0,1300.0
14.0,10.78962230682373,106.63945770263672,2.0,2.0,74.0,1600.0
14.0,10.787256803904755,106.64075207710266,2.0,2.0,66.9,1250.0
14.0,10.7251014,106.72641249999992,2.0,2.0,82.0,1200.0
14.0,10.772738456726074,106.63487243652344,2.0,2.0,60.0,850.0
14.0,10.772833314499223,106.63400876522064,2.0,2.0,60.0,850.0
14.0,10.772770075987118,106.63401412963867,2.0,2.0,55.0,820.0
14.0,10.8014659,106.65259739999999,2.0,2.0,59.0,1050.0
14.0,10.7863307,106.62765669999999,3.0,2.0,85.0,1340.0
14.0,10.7629739,106.65008399999999,3.0,2.0,85.0,1340.0
14.0,10.8014659,106.65259739999999,2.0,2.0,59.0,1050.0
14.0,10.780529,106.631523,2.0,2.0,69.0,1150.0
14.0,10.7816,106.6375,2.0,2.0,65.0,1130.0
14.0,10.7727911554926,106.63398194313004,2.0,2.0,57.0,912.0
14.0,10.7660575956348,106.628103017807,2.0,2.0,73.0,1250.0
14.0,10.772801695244837,106.63407850265503,2.0,2.0,42.0,690.0
14.0,10.772727916971673,106.63393902778625,2.0,2.0,45.0,690.0
14.0,10.78053,106.63149999999996,3.0,2.0,107.0,1520.0
14.0,10.77274,106.6349,2.0,2.0,42.0,672.0
14.0,10.7251014,106.72641249999992,2.0,2.0,56.0,700.0
14.0,10.772738456726074,106.63487243652344,2.0,2.0,60.0,690.0
14.0,10.78409,106.635681,2.0,2.0,82.0,1050.0
14.0,10.7755565643311,106.63411712646507,2.0,2.0,69.0,1000.0
14.0,10.7727133,106.62765669999999,2.0,1.0,46.0,690.0
14.0,10.7736364,106.6275961,3.0,2.0,90.0,1500.0
14.0,10.76988410949707,106.6262435913086,3.0,3.0,84.0,1250.0
14.0,10.76988410949707,106.6262435913086,1.0,1.0,45.0,600.0
14.0,10.7727133,106.62765669999999,1.0,1.0,45.0,640.0
14.0,10.76988,106.6262,1.0,1.0,48.0,680.0
14.0,10.76988410949707,106.6262435913086,3.0,2.0,83.0,1150.0
14.0,10.7755566,106.634117,1.0,1.0,45.0,675.0
14.0,10.7755566,106.63411700000006,1.0,1.0,45.0,697.5
3.0,20.99349,105.8069,3.0,2.0,111.0,3607.5
3.0,20.99349,105.8069,2.0,2.0,111.0,3907.2
1.0,20.972930747847666,105.8201253414154,3.0,2.0,99.1,1932.4
3.0,20.9934864,105.80690800000002,3.0,2.0,115.0,3220.0
8.0,10.816048143971,106.70735478401207,2.0,2.0,71.0,1590.0
3.0,20.99349,105.8069,2.0,2.0,111.0,3552.0
3.0,21.027835,105.852276,1.0,1.0,55.0,2300.0
3.0,20.993579,105.79820940000002,2.0,2.0,109.0,4000.0
3.0,20.99349,105.8069,3.0,2.0,111.0,3552.0
3.0,20.99349,105.8069,2.0,2.0,111.0,3552.0
8.0,10.81615,106.7073,3.0,2.0,81.0,1863.0
3.0,21.0026664733887,105.8154296875,2.0,2.0,69.1,3460.0
3.0,21.002666473388672,105.8154296875,2.0,2.0,130.7,4400.0
3.0,20.9934864044189,105.80690765380905,3.0,2.0,132.0,3762.0
3.0,20.9805944,105.78863290000004,4.0,2.0,100.0,2000.0
3.0,20.9922844,105.8010918,2.0,2.0,111.0,3100.0
3.0,20.993486404418945,105.8069076538086,2.0,2.0,111.0,3496.5
3.0,20.99349,105.8069,3.0,2.0,111.0,3385.5
3.0,21.00319732322163,105.81379890441895,2.0,2.0,89.8,4000.0
3.0,21.00425901722264,105.81510782241821,2.0,2.0,108.7,4600.0
3.0,21.00342769142954,105.81493616104126,3.0,2.0,102.1,4200.0
